sample;Segment;sp.s;subject.s;chimericPoint;sp;subject;insertionCoord;NbChimera
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010000171.1;253034;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010000461.1;481255;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010000701.1;1031953;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010000710.1;294994;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010000727.1;58817;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010000771.1;7718;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010000856.1;151669;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010000889.1;3908;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010000911.1;75813;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010000959.1;1191394;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010000959.1;1552111;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010000959.1;7160501;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010000959.1;7899310;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010000959.1;16967871;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010001091.1;1174352;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010001261.1;184487;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010001374.1;1129942;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010001568.1;1156723;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010001569.1;83038;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010001601.1;192009;2
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010001683.1;410588;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010001690.1;303148;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010001699.1;1460697;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010001703.1;178026;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010001743.1;382916;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010001988.1;100350;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010002028.1;68166;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010002063.1;4625954;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010002354.1;1364955;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010002449.1;249326;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010002449.1;353790;2
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780347;sesamia_nonagrioides;JADWQK010002529.1;219330;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010000137.1;2847385;2
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010000266.1;8997234;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010000329.1;601102;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010000329.1;5347679;2
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010000398.1;207181;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010000412.1;1226415;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010000518.1;175890;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010000551.1;12122906;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010000605.1;58751;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010000644.1;64066;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010000671.1;1881084;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010000671.1;3040403;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010000737.1;19232;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010000749.1;17477;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010000846.1;3126790;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010000940.1;262850;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010000959.1;1014721;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010000959.1;4149011;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010000959.1;5580082;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010000959.1;13110508;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010000959.1;13481851;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010000959.1;13543190;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010000967.1;830100;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010001002.1;64204;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010001038.1;115836;2
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010001091.1;404465;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010001130.1;1247700;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010001154.1;2883729;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010001182.1;3799630;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010001187.1;200080;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010001287.1;739320;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010001287.1;1671781;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010001324.1;2888274;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010001360.1;284915;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010001374.1;489551;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010001380.1;216795;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010001395.1;485889;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010001407.1;170447;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010001470.1;2063532;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010001527.1;106567;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010001634.1;525731;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010001634.1;747570;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010001651.1;642173;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010001655.1;76143;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010001942.1;111138;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010001996.1;115513;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010002002.1;3351335;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010002004.1;115174;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010002053.1;6799;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010002171.1;116732;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010002191.1;1172479;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010002213.1;1040336;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010002267.1;14714;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010002274.1;286348;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010002352.1;133377;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010002393.1;5089265;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010002474.1;183190;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780348;sesamia_nonagrioides;JADWQK010002504.1;1120066;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780349;sesamia_nonagrioides;JADWQK010000292.1;625264;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780349;sesamia_nonagrioides;JADWQK010000914.1;24353;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780349;sesamia_nonagrioides;JADWQK010000963.1;126515;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780349;sesamia_nonagrioides;JADWQK010001104.1;275480;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780349;sesamia_nonagrioides;JADWQK010002105.1;232772;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780349;sesamia_nonagrioides;JADWQK010002352.1;1059666;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780349;sesamia_nonagrioides;JADWQK010002473.1;359152;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780350;sesamia_nonagrioides;JADWQK010000055.1;179023;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780350;sesamia_nonagrioides;JADWQK010002504.1;399179;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780352;sesamia_nonagrioides;JADWQK010001149.1;601720;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780352;sesamia_nonagrioides;JADWQK010001311.1;244495;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780352;sesamia_nonagrioides;JADWQK010001823.1;418139;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780354;sesamia_nonagrioides;JADWQK010001341.1;1056240;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780355;sesamia_nonagrioides;JADWQK010001130.1;1093995;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780357;sesamia_nonagrioides;JADWQK010002164.1;1694141;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780377;sesamia_nonagrioides;JADWQK010001795.1;444555;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780378;sesamia_nonagrioides;JADWQK010000266.1;2717857;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780379;sesamia_nonagrioides;JADWQK010001154.1;2063672;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780381;sesamia_nonagrioides;JADWQK010000730.1;74953;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780381;sesamia_nonagrioides;JADWQK010001454.1;983982;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780381;sesamia_nonagrioides;JADWQK010001818.1;437796;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780381;sesamia_nonagrioides;JADWQK010002063.1;5473167;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780381;sesamia_nonagrioides;JADWQK010002228.1;3580079;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780382;sesamia_nonagrioides;JADWQK010000026.1;1206890;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780383;sesamia_nonagrioides;JADWQK010000618.1;42219;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780383;sesamia_nonagrioides;JADWQK010001467.1;595396;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780383;sesamia_nonagrioides;JADWQK010002002.1;2225858;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780384;sesamia_nonagrioides;JADWQK010000004.1;63532;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780384;sesamia_nonagrioides;JADWQK010000321.1;11130;1
a1;Segment_1;cotesia_typhae;JAAOIC020000039.1;10780384;sesamia_nonagrioides;JADWQK010000331.1;179484;1
